ID,name,address,operating_hours,contact_info
1,Downtown Financial Agency,"12 Main Street, New York, NY 10001",8,2125550101
2,Westside Consulting Agency,"45 West Blvd, Los Angeles, CA 90001",9,3105550202
3,Northgate Advisory,"78 North Ave, Chicago, IL 60601",8,3125550303
4,Riverside Services Agency,"23 River Road, Houston, TX 77001",10,7135550404
5,Lakeside Financial Center,"56 Lake Drive, Phoenix, AZ 85001",9,6025550505
6,Central Business Agency,"90 Center St, Philadelphia, PA 19101",8,2155550606
7,Harbor Point Advisory,"34 Harbor Lane, San Antonio, TX 78201",9,2105550707
8,Greenfield Consulting,"67 Green Ave, San Diego, CA 92101",8,6195550808
9,Metro Financial Agency,"11 Metro Plaza, Dallas, TX 75201",10,2145550909
10,Eastside Advisory Center,"88 East Pkwy, San Jose, CA 95101",9,4085551010
